ID,Platform,Name,Description,dep_pkg_count,dep_repo_count,contributors,open_issues,stars,days_since_release,criticality,fragility,in_risk_universe,topic_id_corpus,topic_label_corpus,topic_id_risk,topic_label_risk
30633,NPM,101,common javascript utils that can be required selectively that assume es5+,105,256,21.0,20.0,1512.0,636,0.14670681883654668,0.24420690214636434,False,24,General-purpose infrastructure (residual),,
30774,Cargo,ansi_term,"Library for ANSI terminal colours and styles (bold, underline)",269,5116,20.0,8.0,229.0,131,0.30497168810028963,0.19013327141886238,False,23,Documentation & formatting,,
30795,Cargo,bincode,A binary serialization / deserialization strategy that uses Serde for transforming structs into bytes and vice versa!,482,1174,49.0,45.0,689.0,32,0.31785509098830617,0.13075669931273814,False,7,Data serialisation & validation,,
30796,Cargo,bindgen,Automatically generates Rust FFI bindings to C and C++ libraries.,537,713,217.0,254.0,1403.0,53,0.3144577452029377,0.14355832628896634,False,24,General-purpose infrastructure (residual),,
30798,Cargo,bitflags,A macro to generate structures which behave like bitflags. ,843,14252,47.0,15.0,248.0,109,0.43056546691604114,0.17327570942634676,False,23,Documentation & formatting,,
30827,Cargo,cc,A build-time dependency for Cargo build scripts to assist in invoking the native C compiler to compile native C code into a static archive to be linked into Rust code. ,513,5955,132.0,25.0,548.0,3,0.3649554290530757,0.051637069353573976,False,21,Compilation & code transforms,,
30832,Cargo,cgmath,A linear algebra and mathematics library for computer graphics.,121,994,78.0,52.0,623.0,359,0.1937151197106188,0.21199948059398285,False,20,Server infrastructure,,
30838,Cargo,chrono,Date and time library for Rust,1768,5554,72.0,121.0,977.0,48,0.47083511934839134,0.14291578762572268,False,21,Compilation & code transforms,,
30894,Cargo,csv,Fast CSV parsing with support for serde.,248,991,38.0,22.0,669.0,4,0.255788248632565,0.06634124826971895,False,24,General-purpose infrastructure (residual),,
30897,Cargo,curl,Rust bindings to libcurl for making HTTP requests,167,722,80.0,18.0,561.0,738,0.21338664600748958,0.2364769098800903,False,18,HTTP & networking,,
30920,Cargo,docopt,Command line argument parsing.,313,1284,66.0,45.0,634.0,279,0.28263935031518345,0.2038981322913125,False,13,Command-line infrastructure,,
30923,Cargo,dotenv,A `dotenv` implementation for Rust,141,736,26.0,9.0,62.0,82,0.1992318837271473,0.17089895126990137,False,16,Parsers & code transformation,,
30964,Cargo,fern,"Simple, efficient logging",115,305,13.0,10.0,286.0,80,0.1590416443500506,0.18309774506345916,False,23,Documentation & formatting,,
30972,Cargo,flate2,"Bindings to miniz.c for DEFLATE compression and decompression exposed as Reader/Writer streams. Contains bindings for zlib, deflate, and gzip-based streams. ",345,2735,54.0,14.0,264.0,61,0.3105004888600054,0.15202593376979395,False,16,Parsers & code transformation,,
31000,Cargo,gcc,"**Deprecated** crate, renamed to `cc`  A build-time dependency for Cargo build scripts to assist in invoking the native C compiler to compile native C code into a static archive to be linked into Rust code. ",360,4577,132.0,25.0,548.0,460,0.32741649911849463,0.21823697053358096,False,21,Compilation & code transforms,,
31012,Cargo,getopts,getopts-like option parsing. ,287,1678,33.0,8.0,143.0,145,0.28197749462768756,0.18654244143286766,False,13,Command-line infrastructure,,
